# HEADER
# ======
# label             si-sextupole-s15-sdb1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.0640e-06 -3.6615e-06  -8.1346e-05 -1.2511e-04  +2.3466e+00 +1.5891e-03  -2.2376e-01 -1.0837e-02  +7.1964e+00 +2.5956e+01  -1.6732e+02 +2.4258e+01  +2.2857e+04 -1.6597e+04  -3.1207e+05 -1.3583e+06  +5.5484e+08 +1.6879e+08  +6.7419e+09 +8.1394e+09  +4.7192e+11 -7.9619e+11  -1.1570e+13 +1.6418e+14  +6.8387e+14 +2.4808e+15  -1.1425e+17 -2.9375e+17  +3.1851e+20 -1.1711e+19  
+129.9961 -2.1818e-05 -2.8765e-06  -6.6010e-03 -1.4914e-02  +2.9029e+02 -3.4142e-04  +4.0231e+00 +2.3782e+00  +3.4875e+02 +7.9152e+01  -8.0872e+03 -1.4715e+03  +9.6419e+05 -2.4296e+05  +1.9803e+07 +3.3321e+07  -1.8822e+11 +2.2753e+10  +3.2540e+10 -1.0394e+10  -1.6685e+12 -6.4773e+12  -1.9942e+14 +3.9676e+12  -4.3085e+16 +3.4806e+16  -6.5803e+18 -1.3380e+19  +4.2223e+22 -1.4908e+21  
+149.9971 -2.5476e-05 -3.7546e-06  -7.5774e-03 -1.6898e-02  +3.3067e+02 -9.4639e-03  +4.1823e+00 +2.6767e+00  +3.8758e+02 +1.0410e+02  -9.3383e+03 -1.9438e+03  +1.1234e+06 -3.2853e+05  +2.2261e+07 +3.7506e+07  -2.1628e+11 +2.6689e+10  +4.7432e+10 -1.3461e+10  -7.0832e+11 -7.6276e+12  -1.6526e+14 +1.5060e+14  -6.4666e+16 +4.5947e+16  -8.2598e+18 -1.5152e+19  +4.8270e+22 -1.5658e+21  
+167.7981 -2.8813e-05 -4.6307e-06  -8.3269e-03 -1.8317e-02  +3.5996e+02 -1.7530e-02  +4.1579e+00 +2.9184e+00  +4.0403e+02 +1.2095e+02  -9.7842e+03 -2.2500e+03  +1.1750e+06 -3.2413e+05  +2.3799e+07 +3.7889e+07  -2.3604e+11 +2.9826e+10  +6.6087e+10 -1.6838e+10  +1.7084e+12 -8.0172e+12  -4.4238e+14 +1.3261e+14  -6.1836e+16 +3.9536e+16  -9.2539e+18 -1.6538e+19  +5.2538e+22 -1.5676e+21  
+180.0000 -3.1146e-05 -5.2826e-06  -8.7756e-03 -1.9100e-02  +3.7641e+02 -2.3031e-02  +4.0509e+00 +3.0709e+00  +4.0545e+02 +1.2959e+02  -9.7266e+03 -2.3978e+03  +1.1613e+06 -2.7729e+05  +2.4500e+07 +3.6333e+07  -2.4674e+11 +3.1777e+10  +8.1813e+10 -1.9506e+10  +4.2148e+12 -7.9393e+12  -7.9965e+14 +3.9479e+13  -4.7906e+16 +2.6259e+16  -9.6629e+18 -1.7385e+19  +5.4858e+22 -1.5335e+21  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-168 S15-181 S15-174 S15-128 S15-146 S15-268 S15-139 S15-202 S15-244 S15-242 
#    S15-149 S15-124 S15-107 S15-189 S15-188 S15-177 S15-186 S15-126 S15-123 S15-170 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333
# 7. average of +0.373% of sextupoles families was used (SFB1 and SFP1 ignored)

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
